Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,City of Lacey - City Hall Parking,420 College St,"At 3rd Ave SE, next to police station",Lacey,WA,98503,,360-491-3214,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-9,47.044011,-122.822404,2021-01-14,33351,2021-01-28 15:42:00 UTC,LG,,,,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,"5th floor parking garage; rows D, G, and I",Seattle,WA,98188,,206-787-5388,E,,Public,24 hours daily; pay lot,,,,,36,,,,Non-Networked,,200-8,47.443377,-122.296229,2020-07-13,33717,2020-07-13 20:30:49 UTC,P,,,,,,,,NEMA520,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,,,,,,,,,,
ELEC,Haggen Food & Pharmacy,1313 Cooper Point Rd SW,In front of the building on the left hand side,Olympia,WA,98502,,360-754-1428,E,,Public,24 hours daily,,,,,2,,,,Non-Networked,,200-8,47.035421,-122.938962,2020-09-03,35337,2020-09-03 19:35:48 UTC,P,,,,,,,,NEMA520,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,
ELEC,Avista Corp,1411 E Mission Ave,,Spokane,WA,99252,,509-489-0500,E,,Public,24 hours daily,,,,,1,2,,,Non-Networked,,GPS,47.673347,-117.388933,2019-07-09,35620,2020-08-12 06:35:16 UTC,P,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,,
ELEC,Steam Plant Grill,159 S Lincoln St,,Spokane,WA,99201,,509-777-3900,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,47.654998,-117.425025,2019-11-08,35621,2020-08-12 06:35:16 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,,,,,,,,,,
ELEC,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614744,-122.193162,2021-01-30,37181,2021-01-30 00:20:05 UTC,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Group Health Olympia Medical Center,700 Lilly Rd,,Olympia,WA,98506,,360-923-7670,E,,Public,24 hours daily,,,,,1,,,,Non-Networked,,200-9,47.056888,-122.841752,2019-11-08,37664,2020-08-12 06:35:16 UTC,P,,,,,,,,NEMA520,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free,,,,,,,,,,,,,,,,,,,
ELEC,The Evergreen State College,2700 Evergreen Pkwy NW,Parking Lot C,Olympia,WA,98505,,360-867-6352,E,,Public,24 hours daily; permit required; pay lot,,,,,2,2,,,Non-Networked,,GPS,47.071917,-122.976675,2021-01-14,37673,2021-01-14 18:42:41 UTC,SG,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Washington Department of Labor & Industries - Department of Health - Department of Transportation,243 Israel Rd SE,,Tumwater,WA,98501,,360-236-3070,E,,Public - Call ahead,24 hours daily; by appointment only,,,,,,6,,,Non-Networked,,200-9,46.984193,-122.904856,2019-11-08,37677,2020-08-12 06:35:16 UTC,LG,,,,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,STATE_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,,
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,1755 Highlands Dr NE,,Issaquah,WA,98027,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.545324,-122.0195,2021-01-30,38082,2021-01-30 00:20:05 UTC,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
